MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,LIVE
8,LIVE
9,LIVE
10,LIVE
11,LIVE
12,LIVE
13,FAIL
14,EXC
15,EXC
16,TIME
17,EXC
18,EXC
19,EXC
20,LIVE
21,LIVE
22,LIVE
23,LIVE
24,TIME
25,TIME
26,FAIL
27,FAIL
28,LIVE
29,EXC
30,FAIL
31,EXC
32,LIVE
33,EXC
34,FAIL
35,FAIL
76,EXC
77,FAIL
78,EXC
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,FAIL
87,EXC
88,FAIL
89,LIVE
90,EXC
91,FAIL
92,FAIL
93,EXC
94,EXC
95,FAIL
96,LIVE
97,FAIL
98,LIVE
99,LIVE
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,EXC
112,FAIL
113,EXC
114,LIVE
115,LIVE
116,EXC
117,LIVE
118,LIVE
119,LIVE
120,LIVE
121,LIVE
122,LIVE
123,FAIL
124,FAIL
125,FAIL
126,EXC
127,EXC
128,FAIL
129,FAIL
130,EXC
131,FAIL
132,FAIL
133,EXC
134,EXC
135,FAIL
136,LIVE
137,EXC
138,EXC
139,EXC
140,FAIL
141,FAIL
142,TIME
143,FAIL
144,FAIL
145,FAIL
146,TIME
147,LIVE
148,FAIL
149,EXC
150,FAIL
151,EXC
152,EXC
153,EXC
154,LIVE
155,EXC
156,EXC
157,EXC
158,EXC
159,EXC
160,EXC
161,EXC
162,EXC
163,EXC
164,EXC
165,LIVE
166,EXC
167,EXC
168,EXC
169,EXC
170,EXC
171,EXC
172,LIVE
173,EXC
174,EXC
175,EXC
176,EXC
177,FAIL
178,EXC
179,FAIL
180,FAIL
181,FAIL
182,LIVE
183,FAIL
184,LIVE
185,FAIL
186,EXC
187,FAIL
188,FAIL
189,LIVE
190,FAIL
191,LIVE
192,FAIL
193,FAIL
194,LIVE
195,EXC
196,LIVE
197,EXC
198,FAIL
199,FAIL
200,LIVE
201,LIVE
202,FAIL
203,LIVE
