CurrentTotalRuntime,TestNo,TestRuntimeOriginal,KilledByTest,AnalyzedByTest,CoveredByTest,TotalKilled,TotalFailure,TotalException,TotalTimeout,LiveMutants,TotalAnalyzed
147775,1,153,570,1438,1438,570,187,325,58,4828,1438
152463,2,31,77,166,176,647,226,362,59,4751,1604
173740,3,76,92,375,595,739,291,386,62,4659,1979
400540,4,221,285,1435,1856,1024,372,565,87,4374,3414
1582974,5,602,422,1974,2829,1446,612,714,120,3952,5388
1582975,6,1,0,0,0,1446,612,714,120,3952,5388
1584630,7,27,6,81,122,1452,618,714,120,3946,5469
1586766,8,24,11,97,152,1463,628,714,121,3935,5566
2122486,9,281,319,1835,3052,1782,885,774,123,3616,7401
2124741,10,19,13,89,198,1795,896,776,123,3603,7490
2290732,11,115,432,1646,2943,2227,1186,909,132,3171,9136
2328506,12,85,105,620,1496,2332,1267,925,140,3066,9756
2384268,13,81,64,856,1810,2396,1311,944,141,3002,10612
2423071,14,80,41,611,1640,2437,1335,961,141,2961,11223
2450915,15,62,3,507,1490,2440,1336,963,141,2958,11730
2475185,16,71,18,439,1233,2458,1352,965,141,2940,12169
2476072,17,9,47,121,321,2505,1384,980,141,2893,12290
3098819,18,409,499,1575,3325,3004,1767,1069,168,2394,13865
3099086,19,4,6,34,77,3010,1772,1070,168,2388,13899
3100276,20,3,29,76,135,3039,1790,1075,174,2359,13975
3135359,21,78,63,491,1555,3102,1831,1096,175,2296,14466
3189829,22,81,104,726,2076,3206,1909,1122,175,2192,15192
3320034,23,245,195,630,1599,3401,2046,1171,184,1997,15822
3391105,24,101,71,792,2256,3472,2106,1179,187,1926,16614
3391954,25,9,29,70,207,3501,2125,1189,187,1897,16684
3454862,26,121,87,633,2074,3588,2178,1219,191,1810,17317
